iter	Logloss
0	0.6916978133
1	0.6899384648
2	0.6887200603
3	0.6872501401
4	0.6856007318
5	0.6846258553
6	0.6834839902
7	0.6823356523
8	0.6809821412
9	0.6796031803
10	0.6777907587
11	0.6765008611
12	0.6748069247
13	0.6731533374
14	0.6723049295
15	0.67077693
16	0.6695734007
17	0.6684945031
18	0.66670931
19	0.6651959553
20	0.6637074536
21	0.6625970244
22	0.661478421
23	0.660534413
24	0.6589837867
25	0.6575676767
26	0.6562152203
27	0.6548496391
28	0.653511417
29	0.6521616841
30	0.6508995635
31	0.6497741476
32	0.6484881917
33	0.6472168824
34	0.6465660579
35	0.6451128391
36	0.6437050425
37	0.6424020715
38	0.6410930872
39	0.6394260839
40	0.6379098606
41	0.6362989066
42	0.635028042
43	0.6339197644
44	0.6328006863
45	0.631752852
46	0.6306077611
47	0.6293271432
48	0.6279454441
49	0.6268737402
50	0.6255390459
51	0.6240805314
52	0.6226534145
53	0.6214032259
54	0.6204164142
55	0.6198258931
56	0.6188149444
57	0.6173832429
58	0.6161694823
59	0.6147958464
60	0.6138521007
61	0.612856114
62	0.6118148206
63	0.6102205521
64	0.6092176618
65	0.6077281654
66	0.6068504961
67	0.6054116399
68	0.6041746142
69	0.6030772114
70	0.6021643212
71	0.6010744788
72	0.5996661157
73	0.5981384759
74	0.5970836657
75	0.5959097609
76	0.5946812521
77	0.5936265686
78	0.5927231419
79	0.5916437664
80	0.5905728214
81	0.5889816085
82	0.5878667298
83	0.5865386492
84	0.5855250308
85	0.5846303011
86	0.5836874987
87	0.5825727357
88	0.5814787582
89	0.5799078125
90	0.5785973794
91	0.5775614032
92	0.5758965947
93	0.5752691631
94	0.5739820734
95	0.5729279642
96	0.5719117961
97	0.5708425536
98	0.5697618165
99	0.5685614343
100	0.5676974973
101	0.5668284742
102	0.5655225159
103	0.564056462
104	0.5628347645
105	0.5615059402
106	0.5602740486
107	0.5589249545
108	0.5580486487
109	0.557284827
110	0.5564973056
111	0.5552184586
112	0.554280208
113	0.5532207926
114	0.5521663675
115	0.5512799428
116	0.5504748771
117	0.5493734277
118	0.5484287743
119	0.5474783367
120	0.5469021222
121	0.5461854242
122	0.5448252559
123	0.5437023598
124	0.5427897069
125	0.5418134999
126	0.5407741532
127	0.5399469872
128	0.5387946842
129	0.5378515204
130	0.536965567
131	0.5357349935
132	0.5348701565
133	0.53401485
134	0.5328122184
135	0.5319740394
136	0.5310519413
137	0.5302128364
138	0.5293329098
139	0.5280846521
140	0.5271172276
141	0.5260079868
142	0.5249731167
143	0.5238715406
144	0.5224416613
145	0.5213603105
146	0.5203858266
147	0.5192845044
148	0.5182815945
149	0.517525194
150	0.5169555688
151	0.5161659151
152	0.5147345759
153	0.5137737259
154	0.5128843155
155	0.5121756796
156	0.5113077638
157	0.510589195
158	0.5095089456
159	0.5085448728
