iter	F1	Logloss
0	0.9333333306	0.6923057142
1	1	0.691476472
2	1	0.6905030448
3	1	0.6895337711
4	1	0.6884810053
5	1	0.6875551717
6	1	0.6865861823
7	1	0.6856791938
8	1	0.6848006545
9	1	0.6839492131
10	1	0.6830379997
11	1	0.681925038
12	1	0.6811569279
13	1	0.6802903493
14	1	0.679911655
15	1	0.6790594148
16	1	0.6783215413
17	1	0.677486117
18	1	0.6766728642
19	1	0.6757524973
20	1	0.6750280957
21	1	0.6743068137
22	1	0.6734381125
23	1	0.672637772
24	1	0.6716825227
25	1	0.6709399511
26	1	0.670117061
27	1	0.6691827854
28	1	0.6684199932
29	1	0.6678774404
30	1	0.6671173034
31	1	0.6661617338
32	1	0.6655152365
33	1	0.664613842
34	1	0.6637858407
35	1	0.6634273338
36	1	0.6624631691
37	1	0.6617944092
38	1	0.6609864381
39	1	0.6601131901
40	1	0.6593645936
41	1	0.658629239
42	1	0.6578693601
43	1	0.6573253542
44	1	0.6565960154
45	1	0.6558327692
46	1	0.6550498837
47	1	0.6539783934
48	1	0.6531352551
49	1	0.6521895457
50	1	0.6511729888
51	1	0.650544811
52	1	0.6496886065
53	1	0.6489858607
54	1	0.6480857487
55	1	0.6476537634
56	1	0.6469748444
57	1	0.6460890684
58	1	0.6452387928
59	1	0.6444870374
60	1	0.6437099707
61	1	0.6428840943
62	1	0.6421028267
63	1	0.6411558111
64	1	0.6405217157
65	1	0.6398693034
66	1	0.6391220031
67	1	0.6386255624
68	1	0.6379041779
69	1	0.6372090837
70	1	0.6363974129
71	1	0.6354548661
72	1	0.6347893965
73	1	0.6340510566
74	1	0.6330966778
75	1	0.6321123386
76	1	0.6311496827
77	1	0.6304056805
78	1	0.6295321367
79	1	0.6286538496
80	1	0.6282439072
81	1	0.6276230363
82	1	0.6268305176
83	1	0.6259781916
84	1	0.6253776316
85	1	0.6246091193
86	1	0.6238351013
87	1	0.6229748047
88	1	0.6223291874
89	1	0.6216840465
90	1	0.6210967287
91	1	0.6200619652
92	1	0.6194246402
93	1	0.6186679064
94	1	0.6177936187
95	1	0.6170814496
96	1	0.6163664097
97	1	0.6155895086
98	1	0.6148375126
99	1	0.6140757612
100	1	0.6132039124
101	1	0.6124876567
102	1	0.6118848039
103	1	0.6112738611
104	1	0.6107577812
105	1	0.6099337991
106	1	0.6093705735
107	1	0.6087832423
108	1	0.6082116045
109	1	0.6074276382
110	1	0.6068738086
111	1	0.6061899583
112	1	0.6052938327
113	1	0.6046925418
114	1	0.6039355064
115	1	0.6031850358
116	1	0.6025351014
117	1	0.6019347629
118	1	0.6010691587
119	1	0.600459295
120	1	0.5998419094
121	1	0.5992640681
122	1	0.5987106557
123	1	0.5977345066
124	1	0.596891906
125	1	0.596199487
126	1	0.5956917938
127	1	0.5949475646
128	1	0.5945126325
129	1	0.5937673604
130	1	0.593049668
131	1	0.5925026009
132	1	0.5914913022
133	1	0.5907931697
134	1	0.5899563582
135	1	0.5893354874
136	1	0.5887026246
137	1	0.5880659733
138	1	0.5873732435
139	1	0.5866134742
140	1	0.5857520819
141	1	0.5852289894
142	1	0.5846084254
143	1	0.5837291401
144	1	0.5833107964
145	1	0.582740084
146	1	0.5819536633
147	1	0.5813539386
148	1	0.5806513256
149	1	0.5801409397
150	1	0.5795541764
151	1	0.5789385559
152	1	0.5786703548
153	1	0.5779448071
154	1	0.5772282679
155	1	0.5765366225
156	1	0.5758053237
157	1	0.5750708617
158	1	0.5745806239
159	1	0.573774205
160	1	0.5730998438
161	1	0.572391267
162	1	0.571842427
163	1	0.5710806013
164	1	0.5703905478
